timestamp,month,day,year,time,age,mar,sex,chi,cou,urb,edu,med,wor,sec,occ,foc,hom,iin,hin,srh,dan,gov,hyg,cre,int,anc,sto,chr,cov,n,sur1,sur2,sur3,sur4,sur5,sur6,sur7,sur8,sur9,sur10,sur11,sur12,sur13,sur14,sur15,sur16,sur17,sur18,sur19,sur20,sur21,sur22,sur23,sur24,sur25,sur26,sur27,sur28,sur29,sur30,age_n,mar_n,sex_n,chi_n,ucbs,ist,urb_n,edu_n,med_n,wor_n,sec_n,occ_n,foc_n,hom_n,iin_n,hin_n,srh_n,sto_n,chr_n,cov_n,int_n,dan_n,gov_n,hyg_n,cre_n,sur1_n,sur2_n,sur3_n,sur4_n,sur5_n,sur6_n,sur7_n,sur8_n,sur9_n,sur10_n,sur11_n,sur12_n,sur13_n,sur14_n,sur15_n,sur16_n,sur17_n,sur18_n,sur19_n,sur20_n,surA,surAD,sur21_n,sur22_n,sur23_n,sur24_n,sur25_n,sur26_n,sur27_n,sur28_n,sur29_n,sur30_n,surB,surBD
05/01/2020 13:21,5,1,2020,13:21:16,52,Married,Man,I have a child/children aged 19 and over.,SİVAS,Urban,High school,Primary school,Unemployed,Service,"Non-qualified occupations (Cleaners and Helpers, Agricultural, Forestry and Fisheries Workers, Mining, Construction, Manufacturing and Transport Workers, Food Preparation Assistants, etc)","Craftsmen and related workers (Construction and Related Workers, Metal, Machinery and Related Trade Workers, Handicrafts and Printing Workers, Electrical and Electronic Trade Workers, etc)",No,1500 - 3000,3000 - 6000,Very good,I definitely don't think so,I don't know; I'm uncertain,Same,Increased a lot,Decreased a lot,Yes,No,Yes,No,,Low,Low,Low,Moderate,,Low,Low,,Low,Low,Moderate,,,,,,Low,Low,,,Very slightly or not at all,Moderately,Moderately,A little,A little,A little,Very slightly or not at all,A little,Quite a bit,Very slightly or not at all,4,2,1,7,2,2,2,3.0,1.0,1,6,9,7,2.0,2,3,5,0,1,0,5,5,3,3,1,2,2,2,3,0,2,2,0,2,2,3,0,0,0,0,0,2,2,0,0,24,1,0,2,2,1,1,1,0,1,3,0,11,1
05/02/2020 03:15,5,2,2020,03:15:37,19,Single,Female,I have no children.,DİYARBAKIR,Urban,High school,,Student,Other,,"Staff working in office services (Clerks, Customer Service Officers, Digital and Material Registrars, etc)",Partially,1500 - 3000,1500 - 3000,Good,"Yes, I think",I don't know; I'm uncertain,Increased,Increased,Increased,Yes,Yes,No,No,,Low,Low,Moderate,Moderate,,Moderate,Moderate,Low,Moderate,,Low,Moderate,Low,Low,Low,Low,Moderate,Low,,,Moderately,A little,Very slightly or not at all,A little,Very slightly or not at all,Moderately,Very slightly or not at all,A little,A little,Very slightly or not at all,1,1,2,1,2,2,2,3.0,,6,7,9999,4,3.0,2,2,4,1,0,0,2,2,3,2,2,2,2,3,3,0,3,3,2,3,0,2,3,2,2,2,2,3,2,0,0,39,1,2,1,0,1,0,2,0,1,1,0,8,1
05/02/2020 05:19,5,2,2020,05:19:40,18,Single,Female,I have no children.,EDİRNE,Urban,High school,Middle School,Student,Education,,"Craftsmen and related workers (Construction and Related Workers, Metal, Machinery and Related Trade Workers, Handicrafts and Printing Workers, Electrical and Electronic Trade Workers, etc)",,0 - 1500,1500 - 3000,Very bad,"Yes, I think","Yes, I think",Increased,Same,Increased,Yes,No,Yes,No,,,Low,Moderate,Low,,Low,Low,,Moderate,,Moderate,Moderate,Moderate,Moderate,,,Low,,,,A little,Quite a bit,Moderately,Very slightly or not at all,Very slightly or not at all,Moderately,Moderately,Moderately,Extremely,A little,1,1,2,1,2,2,2,3.0,2.0,6,3,9999,7,,1,2,1,0,1,0,2,2,2,2,3,0,2,3,2,0,2,2,0,3,0,3,3,3,3,0,0,2,0,0,0,28,1,1,3,2,0,0,2,2,2,4,1,17,0
05/02/2020 13:09,5,2,2020,13:09:45,18,Single,Female,I have no children.,EDİRNE,Urban,High school,Primary school,Student,Health,"Technicians, and auxiliary professional groups (Science, Engineering, Business and Management Assistant Specialist, Health and Legal Specialists, etc)","Non-qualified occupations (Cleaners and Helpers, Agricultural, Forestry and Fisheries Workers, Mining, Construction, Manufacturing and Transport Workers, Food Preparation Assistants, etc)",No,0 - 1500,0 - 1500,Very bad,I don't know; I'm uncertain,I don't know; I'm uncertain,Increased,Increased,Increased,Yes,Yes,No,No,,,Low,High,,Low,High,High,Low,Low,,High,High,High,High,Low,,,,,,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,A little,Extremely,1,1,2,1,2,2,2,3.0,1.0,6,4,3,9,2.0,1,1,1,1,0,0,2,3,3,2,2,0,2,4,0,2,4,4,2,2,0,4,4,4,4,2,0,0,0,0,0,38,1,4,4,4,4,4,4,4,4,1,4,37,0
05/02/2020 13:34,5,2,2020,13:34:23,18,Single,Female,I have no children.,ANKARA,Urban,Graduate,High school,Student,Other,"Craftsmen and related workers (Construction and Related Workers, Metal, Machinery and Related Trade Workers, Handicrafts and Printing Workers, Electrical and Electronic Trade Workers, etc)","Service and sales staff (Personal Service Worker, Sales and Personal Care Worker, Protection Services Worker, etc)",Partially,1500 - 3000,1500 - 3000,Kötü,"Yes, I think","Yes, I think",Same,Same,Decreased,Yes,Yes,No,No,,Low,Moderate,Moderate,,Low,,Low,Low,Low,Low,Moderate,Low,Low,Low,Low,Low,Low,,,,A little,Moderately,Moderately,Quite a bit,Moderately,A little,A little,Very slightly or not at all,Moderately,A little,1,1,2,1,1,2,2,5.0,3.0,6,7,7,5,3.0,2,2,0,1,0,0,4,2,2,3,3,2,3,3,0,2,0,2,2,2,2,3,2,2,2,2,2,2,0,0,0,33,1,1,2,2,3,2,1,1,0,2,1,15,1
05/02/2020 15:52,5,2,2020,15:52:52,34,Married,Female,I have a child/children in the 2-6 age range.,ANKARA,Urban,"Postgraduate Education (Master's, Doctorate)",Graduate,Full-time employee,Service,"Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)","Technicians, and auxiliary professional groups (Science, Engineering, Business and Management Assistant Specialist, Health and Legal Specialists, etc)",Yes,12000 - 24000,12000 - 24000,Kötü,"Yes, I think","No, I don't think",Increased,Decreased,Same,Yes,Yes,No,No,,Low,Low,Moderate,Low,,Moderate,Moderate,Low,Moderate,,Low,Moderate,Moderate,Moderate,,,Moderate,,,,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Moderately,Moderately,Quite a bit,2,2,2,4,1,2,2,6.0,5.0,8,6,2,3,1.0,5,5,0,1,0,0,3,2,4,2,4,2,2,3,2,0,3,3,2,3,0,2,3,3,3,0,0,3,0,0,0,34,1,3,3,3,3,3,3,3,2,2,3,28,0
05/06/2020 03:28,5,6,2020,03:28:42,38,Married,Man,"I have a child/children in the 2-6 age range., I have a child/children in the 6-13 age range.",İSTANBUL,Urban,High school,Primary school,Full-time employee,Industry,"Technicians, and auxiliary professional groups (Science, Engineering, Business and Management Assistant Specialist, Health and Legal Specialists, etc)","Craftsmen and related workers (Construction and Related Workers, Metal, Machinery and Related Trade Workers, Handicrafts and Printing Workers, Electrical and Electronic Trade Workers, etc)",Yes,3000 - 6000,3000 - 6000,Very good,I definitely think so,"Yes, I think",Increased,Increased a lot,Increased a lot,Yes,Yes,Yes,No,,Moderate,Moderate,,,Low,,Moderate,,Low,Low,Low,,,,Low,Low,Low,,,Low,Moderately,Moderately,A little,Very slightly or not at all,Moderately,A little,Quite a bit,Moderately,Moderately,Moderately,3,2,1,0,2,2,2,3.0,1.0,8,5,3,7,1.0,3,3,5,1,1,0,1,1,2,2,1,3,3,0,0,2,0,3,0,2,2,2,0,0,0,2,2,2,0,0,2,25,1,2,2,1,0,2,1,3,2,2,2,17,0
05/06/2020 06:40,5,6,2020,06:40:49,19,Single,Man,I have no children.,AĞRI,Urban,High school,Primary school,Unemployed,Service,"Technicians, and auxiliary professional groups (Science, Engineering, Business and Management Assistant Specialist, Health and Legal Specialists, etc)","Craftsmen and related workers (Construction and Related Workers, Metal, Machinery and Related Trade Workers, Handicrafts and Printing Workers, Electrical and Electronic Trade Workers, etc)",No,0 - 1500,0 - 1500,Good,I definitely think so,I definitely don't think so,Increased,Same,Decreased a lot,Yes,Yes,Yes,No,,,,Low,,Low,,High,,High,,Low,Low,Low,Low,,,High,,,,Moderately,Moderately,Quite a bit,Extremely,Moderately,Extremely,Moderately,Extremely,A little,Extremely,1,1,1,1,2,2,2,3.0,1.0,1,6,3,7,2.0,1,1,4,1,1,0,5,1,5,2,3,0,0,2,0,2,0,4,0,4,0,2,2,2,2,0,0,4,0,0,0,24,1,2,2,3,4,2,4,2,4,1,4,28,0
05/07/2020 23:35,5,7,2020,23:35:07,33,Single,Female,I have no children.,İSTANBUL,Urban,"Postgraduate Education (Master's, Doctorate)",High school,Full-time employee,Education,"Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)","Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)",Partially,6000 - 12000,12000 - 24000,Good,"Yes, I think","Yes, I think",Increased,Same,Increased,Yes,No,Yes,No,Yes,Moderate,Low,,,Moderate,,Low,Moderate,,Moderate,Moderate,,,,Moderate,Moderate,,,Moderate,Moderate,A little,Moderately,Very slightly or not at all,A little,A little,A little,A little,A little,Very slightly or not at all,A little,2,1,2,1,2,2,2,6.0,3.0,8,3,2,2,3.0,4,5,4,0,1,0,2,2,2,2,3,3,2,0,0,3,0,2,3,0,3,3,0,0,0,3,3,0,0,3,3,31,1,1,2,0,1,1,1,1,1,0,1,9,1
05/07/2020 23:35,5,7,2020,23:35:24,22,Single,Man,I have no children.,İSTANBUL,Urban,Graduate,Middle School,Student,Other,,"Craftsmen and related workers (Construction and Related Workers, Metal, Machinery and Related Trade Workers, Handicrafts and Printing Workers, Electrical and Electronic Trade Workers, etc)",,0 - 1500,0 - 1500,Good,"Yes, I think",I definitely don't think so,Increased,Increased,Increased,No,No,Yes,No,Yes,Moderate,Low,,,Low,,,Moderate,Low,Moderate,Moderate,,,,Moderate,Low,,Low,Moderate,Moderate,Very slightly or not at all,Moderately,Very slightly or not at all,Very slightly or not at all,A little,A little,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,2,1,1,1,2,2,2,5.0,2.0,6,7,9999,7,,1,1,4,0,1,0,2,2,5,2,2,3,2,0,0,2,0,0,3,2,3,3,0,0,0,3,2,0,2,3,3,31,1,0,2,0,0,1,1,0,1,0,0,5,1
