timestamp,month,day,year,time,age,mar,sex,chi,cou,urb,edu,med,wor,sec,occ,foc,hom,iin,hin,srh,dan,gov,hyg,cre,int,anc,sto,chr,cov,n,sur1,sur2,sur3,sur4,sur5,sur6,sur7,sur8,sur9,sur10,sur11,sur12,sur13,sur14,sur15,sur16,sur17,sur18,sur19,sur20,sur21,sur22,sur23,sur24,sur25,sur26,sur27,sur28,sur29,sur30,age_n,mar_n,sex_n,chi_n,ucbs,ist,urb_n,edu_n,med_n,wor_n,sec_n,occ_n,foc_n,hom_n,iin_n,hin_n,srh_n,sto_n,chr_n,cov_n,int_n,dan_n,gov_n,hyg_n,cre_n,sur1_n,sur2_n,sur3_n,sur4_n,sur5_n,sur6_n,sur7_n,sur8_n,sur9_n,sur10_n,sur11_n,sur12_n,sur13_n,sur14_n,sur15_n,sur16_n,sur17_n,sur18_n,sur19_n,sur20_n,surA,surAD,sur21_n,sur22_n,sur23_n,sur24_n,sur25_n,sur26_n,sur27_n,sur28_n,sur29_n,sur30_n,surB,surBD
7/15/2020 15:38:09,7,15,2020,15:38:09,19,Single,Female,I have no children.,ANKARA,Urban,Graduate,Two-year degree or equivalent,Student,Other,,"Technicians, and auxiliary professional groups (Science, Engineering, Business and Management Assistant Specialist, Health and Legal Specialists, etc)",,6000 - 12000,6000 - 12000,Good,I don't know; I'm uncertain,I definitely don't think so,Increased,Decreased,Same,Yes,No,No,No,No,Low,Low,Low,,,,Low,Low,Low,,,,,Low,Low,Low,Low,,,Low,Quite a bit,Moderately,Quite a bit,Moderately,Moderately,Quite a bit,Moderately,Moderately,Quite a bit,Quite a bit,1,1,2,1,1,2,2,5.0,4.0,6,7,9999,3,,4,4,4,0,0,0,3,3,5,2,4,2,2,2,0,0,0,2,2,2,0,0,0,0,2,2,2,2,0,0,2,22,1,3,2,3,2,2,3,2,2,3,3,25,0
7/20/2020 17:48:02,7,20,2020,17:48:02,33,Single,Man,I have no children.,İSTANBUL,Urban,Graduate,High school,Full-time employee,Service,,"Executives (Senior Officials and Legislators, Administrative and Commercial Executives, etc)",Yes,3000 - 6000,0 - 1500,Very good,"Yes, I think","Yes, I think",Increased,Increased a lot,Increased a lot,Yes,Yes,No,No,Yes (2 kere),Moderate,Low,,,Moderate,,Low,Moderate,,High,High,,,,Low,High,,,Moderate,Moderate,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,Moderately,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,2,1,1,1,2,2,2,5.0,3.0,8,6,9999,1,1.0,3,1,5,1,0,0,1,2,2,2,1,3,2,0,0,3,0,2,3,0,4,4,0,0,0,2,4,0,0,3,3,33,1,0,0,0,1,2,0,1,0,0,0,4,1
7/20/2020 18:20:26,7,20,2020,18:20:26,31,Single,Man,I have no children.,İSTANBUL,Urban,Two-year degree or equivalent,Two-year degree or equivalent,Unemployed after the covid-19 crisis,Other,"Technicians, and auxiliary professional groups (Science, Engineering, Business and Management Assistant Specialist, Health and Legal Specialists, etc)","Service and sales staff (Personal Service Worker, Sales and Personal Care Worker, Protection Services Worker, etc)",No,0 - 1500,1500 - 3000,Very good,I definitely think so,"No, I don't think",Increased a lot,Decreased,Decreased a lot,Yes,No,No,No,Yes (2 kere),High,Moderate,Low,,Low,Low,,Low,Low,Moderate,High,Low,Low,,Low,Low,Low,,Low,Moderate,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,2,1,1,1,2,2,2,4.0,4.0,2,7,3,5,2.0,1,2,5,0,0,0,5,1,4,1,4,4,3,2,0,2,2,0,2,2,3,4,2,2,0,2,2,2,0,2,3,39,1,0,0,0,0,0,0,0,0,0,0,0,1
7/21/2020 19:24:33,7,21,2020,19:24:33,19,Single,Female,I have no children.,BURSA,Rural,Graduate,Two-year degree or equivalent,Student,Other,,"Non-qualified occupations (Cleaners and Helpers, Agricultural, Forestry and Fisheries Workers, Mining, Construction, Manufacturing and Transport Workers, Food Preparation Assistants, etc)",No,0 - 1500,0 - 1500,Good,I definitely think so,I definitely don't think so,Increased,Same,Increased,Yes,No,No,No,No,,,,Low,Low,Moderate,Moderate,,Moderate,,,Moderate,High,High,,,High,Low,,,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,1,1,2,1,2,2,1,5.0,4.0,6,7,9999,9,2.0,1,1,4,0,0,0,2,1,5,2,3,0,0,0,2,2,3,3,0,3,0,0,3,4,4,0,0,4,2,0,0,30,1,3,3,3,3,3,3,3,3,3,3,30,0
7/21/2020 19:26:09,7,21,2020,19:26:09,29,Single,Man,I have no children.,KONYA,Urban,Graduate,Two-year degree or equivalent,Full-time employee,Health,"Staff working in office services (Clerks, Customer Service Officers, Digital and Material Registrars, etc)","Craftsmen and related workers (Construction and Related Workers, Metal, Machinery and Related Trade Workers, Handicrafts and Printing Workers, Electrical and Electronic Trade Workers, etc)",No,3000 - 6000,1500 - 3000,Neither good nor bad,I don't know; I'm uncertain,"No, I don't think",Increased,Same,Same,No,No,Yes,No,No,Low,Low,High,Moderate,,High,Moderate,Low,Moderate,Low,Moderate,High,Moderate,Moderate,Low,,Moderate,,,,A little,Quite a bit,Quite a bit,Moderately,A little,Moderately,A little,A little,Extremely,A little,2,1,1,1,2,2,2,5.0,4.0,8,4,4,7,2.0,3,2,3,0,1,0,3,3,4,2,3,2,2,4,3,0,4,3,2,3,2,3,4,3,3,2,0,3,0,0,0,43,1,1,3,3,2,1,2,1,1,4,1,19,0
7/21/2020 19:26:30,7,21,2020,19:26:30,25,Single,Female,I have no children.,BURSA,Urban,Graduate,Graduate,Full-time employee,Education,"Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)","Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)",Partially,12000 - 24000,12000 - 24000,Good,"Yes, I think",I don't know; I'm uncertain,Increased,Same,Increased a lot,Yes,No,Yes,No,No,Low,Low,Low,,,Low,Moderate,,Moderate,,Low,Moderate,Low,Low,,,Low,,,,A little,Very slightly or not at all,Moderately,Moderately,A little,Quite a bit,Quite a bit,A little,Moderately,A little,2,1,2,1,2,2,2,5.0,5.0,8,3,2,2,3.0,5,5,4,0,1,0,1,2,3,2,3,2,2,2,0,0,2,3,0,3,0,2,3,2,2,0,0,2,0,0,0,25,1,1,0,2,2,1,3,3,1,2,1,16,1
7/21/2020 19:26:38,7,21,2020,19:26:38,24,Single,Female,I have no children.,İSTANBUL,Urban,Graduate,Primary school,Part-time employee,Service,"Service and sales staff (Personal Service Worker, Sales and Personal Care Worker, Protection Services Worker, etc)","Craftsmen and related workers (Construction and Related Workers, Metal, Machinery and Related Trade Workers, Handicrafts and Printing Workers, Electrical and Electronic Trade Workers, etc)",No,3000 - 6000,6000 - 12000,Neither good nor bad,I definitely think so,"No, I don't think",Increased,Increased,Increased,Yes,No,Yes,No,No,Low,,,Low,,Low,Moderate,,Low,,Moderate,,,,,,Low,,,Low,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Moderately,Moderately,Quite a bit,Quite a bit,Quite a bit,Quite a bit,2,1,2,1,2,2,2,5.0,1.0,7,6,5,7,2.0,3,4,3,0,1,0,2,1,4,2,2,2,0,0,2,0,2,3,0,2,0,3,0,0,0,0,0,2,0,0,2,18,1,3,3,3,3,2,2,3,3,3,3,28,0
7/21/2020 19:26:43,7,21,2020,19:26:43,22,Single,Female,I have no children.,KAYSERİ,Urban,Graduate,High school,Student,Other,"Craftsmen and related workers (Construction and Related Workers, Metal, Machinery and Related Trade Workers, Handicrafts and Printing Workers, Electrical and Electronic Trade Workers, etc)","Non-qualified occupations (Cleaners and Helpers, Agricultural, Forestry and Fisheries Workers, Mining, Construction, Manufacturing and Transport Workers, Food Preparation Assistants, etc)",,1500 - 3000,1500 - 3000,Neither good nor bad,I definitely think so,I don't know; I'm uncertain,Increased a lot,Same,Increased,No,No,No,No,No,Moderate,Low,Low,High,Low,Moderate,Low,,Low,Low,High,,Low,,,,Low,,,Low,Extremely,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,A little,Very slightly or not at all,Very slightly or not at all,A little,A little,2,1,2,1,2,2,2,5.0,3.0,6,7,7,9,,2,2,3,0,0,0,2,1,3,1,3,3,2,2,4,2,3,2,0,2,2,4,0,2,0,0,0,2,0,0,2,32,1,4,0,0,0,1,1,0,0,1,1,8,1
7/21/2020 19:26:44,7,21,2020,19:26:44,31,Single,Female,I have no children.,İZMİR,Urban,Graduate,Graduate,Full-time employee,Service,"Staff working in office services (Clerks, Customer Service Officers, Digital and Material Registrars, etc)","Technicians, and auxiliary professional groups (Science, Engineering, Business and Management Assistant Specialist, Health and Legal Specialists, etc)",No,1500 - 3000,3000 - 6000,Good,I don't know; I'm uncertain,I definitely don't think so,Same,Decreased,Same,Yes,Yes,No,No,No,Low,Moderate,Low,,High,,,,,Low,High,Low,,,High,Moderate,Low,,,Moderate,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,A little,Quite a bit,A little,Very slightly or not at all,Very slightly or not at all,A little,2,1,2,1,2,2,2,5.0,5.0,8,6,4,3,2.0,2,3,4,1,0,0,3,3,5,3,4,2,3,2,0,4,0,0,0,0,2,4,2,0,0,4,3,2,0,0,3,31,1,0,0,0,1,1,3,1,0,0,1,7,1
7/21/2020 19:26:47,7,21,2020,19:26:47,20,Single,Female,I have no children.,BURSA,Urban,Graduate,Primary school,Student,Education,,"Service and sales staff (Personal Service Worker, Sales and Personal Care Worker, Protection Services Worker, etc)",,6000 - 12000,3000 - 6000,Good,"Yes, I think","Yes, I think",Increased,Same,Same,Yes,Yes,No,No,No,Low,Moderate,Low,,Low,Low,High,,Low,Low,Moderate,Low,Low,Low,,Low,Low,,,,Moderately,A little,Moderately,Moderately,A little,Moderately,Moderately,Moderately,Moderately,A little,1,1,2,1,2,2,2,5.0,1.0,6,3,9999,5,,4,3,4,1,0,0,3,2,2,2,3,2,3,2,0,2,2,4,0,2,2,3,2,2,2,0,2,2,0,0,0,32,1,2,1,2,2,1,2,2,2,2,1,17,0
